题号,并列章节,状态,机器候选,题干,选项,答案,顾问结论（CH几 / 保留并列 / 其他意见）
01-198,"CH12,CH27",✅ 有机器候选（建议确认）,CH12,患者，男，46岁，因患有下肢深静脉血栓，用华法林治疗4个月，近期因失眠加用苯巴比妥。结果患者的凝血酶原时间比未用苯巴比妥时缩短，其主要原因是,A. 苯巴比妥可诱导肝药酶活性，使华法林代谢加速 / B. 苯巴比妥可抑制肝药酶活性，使华法林代谢加速 / C. 苯巴比妥可诱导肝药酶活性，使华法林代谢减慢 / D. 患者对华法林产生了耐药性 / E. 苯巴比妥抑制凝血酶,A,
02-155,"CH14,CH16,CH19",✅ 有机器候选（建议确认）,CH16,吩噻嗪类抗精神病药引起的帕金森综合征宜选用,A. 左旋多巴 / B. 金刚烷胺 / C. 司来吉兰 / D. 溴隐亭 / E. 苯海索,E,
02-216,"CH15,CH17",🔒 保留并列（无信号，需裁决）,—,解热镇痛药适用于治疗,A. 慢性钝痛 / B. 内脏绞痛 / C. 分娩止痛 / D. 外伤剧痛 / E. 术后剧痛,A,
03-049,"CH15,CH17",✅ 有机器候选（建议确认）,CH17,解热镇痛药的解热特点是,A. 可降低正常体温 / B. 可降低直接注入PG引起的发热 / C. 仅降低致热原引起的发热 / D. 解热作用受环境温度影响 / E. 外界温度高可升高体温,C,
03-141,"CH15,CH17",✅ 有机器候选（建议确认）,CH17,解热镇痛药的共同作用机制是,A. 抑制脑内γ-氨基丁酸（GABA）合成 / B. 抑制多巴胺合成 / C. 直接抑制中枢神经系统 / D. 减少炎症部位刺激因子合成 / E. 抑制前列腺素（PG）的合成,E,
03-028,"CH15,CH25",🔒 保留并列（无信号，需裁决）,—,吗啡镇咳的主要作用部位是,A. 脑室及导水管周围灰质 / B. 脑干网状结构 / C. 延脑孤束核 / D. 中脑盖前核 / E. 大脑皮层,C,
01-100,"CH17,CH27",⚠️ 可疑（候选存疑，需重点复核）,CH27,患者，女，71岁，以反复心前区不适1年、加重3小时入院，心电图检查示“急性下壁心肌梗死”，立即给予阿司匹林300mg、氯吡格雷300mg嚼服，为溶栓做准备。其中，阿司匹林属于,A. 凝血酶间接抑制药 / B. 纤维蛋白溶解药 / C. 抑制血小板花生四烯酸代谢的药物 / D. 增加血小板内cAMP的药物 / E. 抑制ADP活化血小板的药物,C,
01-220,"CH17,CH27",🔒 保留并列（无信号，需裁决）,—,患者，女，68岁，因关节痛加重2周就诊。患者10年前诊断为风湿性关节炎和静脉炎，医生给予保泰松与华法林合用，可产生,A. 减少吸收 / B. 诱导肝药酶，加速灭活 / C. 竞争与血浆蛋白结合 / D. 竞争性对抗 / E. 药理作用协同,C,
01-195,"CH17,CH29",🔒 保留并列（无信号，需裁决）,—,患者，男，32岁。患风湿性关节炎4年，因受凉感冒，医生为该患者开处方醋酸泼尼松片＋阿司匹林片，该处方最易引起的不良反应为,A. 诱发、加重溃疡 / B. 诱发、加重感染 / C. 糖尿病 / D. 骨质疏松 / E. 高血压,A,
02-042,"CH19,CH20",✅ 有机器候选（建议确认）,CH19,通过利尿发挥降压作用的药物是,A. 可乐定 / B. 美卡拉明 / C. 利舍平 / D. 卡托普利 / E. 氢氯噻嗪,E,
01-088,"CH19,CH22",✅ 有机器候选（建议确认）,CH19,一充血性心力衰竭患者使用了洋地黄和氢氯噻嗪治疗后出现快速型心律失常，以下处理措施正确的是,A. 停用氢氯噻嗪加服氯化钾 / B. 停用氢氯噻嗪加阿托品 / C. 将氢氯噻嗪换成呋塞米 / D. 将氢氯噻嗪换成吲达帕胺 / E. 将氢氯噻嗪换成甘露醇,A,
01-199,"CH19,CH26,CH36",✅ 有机器候选（建议确认）,CH36,患者，女，25岁。因感冒后3天出现全身水肿，呈中度凹陷性，全天性质一样，伴尿频、尿急，尿液呈淡茶色，入院就诊。患者尿量减少，无明显肉眼血尿，无双侧腰痛，无乏力，无食欲缺乏，无咳嗽、咳痰，无恶心、呕吐，无腹痛、腹泻，无头晕、头痛。尿检：红细胞585个/μl，白细胞416个/μl，上皮细胞225个/μl，细菌8642个/μl，BLD＋＋，PRO＋＋。诊断为急性肾小球肾炎。给予注射用盐酸克林霉素1.2g，用0.9%氯化钠注射液150ml溶解并稀释后静脉滴注。滴注完毕后上肢疼痛明显，伴肿胀，无瘙痒。请问引起上述症状的原因可能是,A. 不宜使用克林霉素 / B. 克林霉素用量过大 / C. 使用克林霉素出现过敏 / D. 克林霉素静脉滴注浓度过高 / E. 未合并使用抗过敏药物,D,
01-186,"CH2,CH22",🔒 保留并列（无信号，需裁决）,—,某患，56岁，诊断为高血压型充血性心力衰竭，遵医嘱服用地高辛。地高辛半衰期为33h，按每日给予治疗量，问血药浓度何时达到稳态,A. 3日 / B. 6日 / C. 9日 / D. 12日 / E. 15日,B,
03-146,"CH2,CH3,CH20",🔒 保留并列（无信号，需裁决）,—,下列二氢吡啶类钙拮抗药中半衰期最长的是,A. 硝苯地平 / B. 尼莫地平 / C. 氨氯地平 / D. 尼群地平 / E. 尼索地平,C,
01-059,"CH2,CH34",✅ 有机器候选（建议确认）,CH2,患者，男，52岁，因无痛血尿就诊。查体正常，膀胱镜检查后尿道有出血点，尿中白细胞＋＋，诊断为尿道感染。给予口服磺胺甲噁唑，此药生物利用度为100%，表明其,A. 口服吸收迅速 / B. 口服吸收完全 / C. 首过消除明显 / D. 与血浆蛋白结合率高 / E. 未经肝门脉吸收,B,
01-176,"CH20,CH21",🔒 保留并列（无信号，需裁决）,—,患者，男，41岁，患有慢性肾衰竭。患者于40分钟前睡眠时突然发作呼吸困难，程度剧烈，不能平卧，伴大汗淋漓，并伴有咳嗽，咳粉红色泡沫痰，自服“速效救心丸”症状无缓解，就近社区医生查血压190/120mmHg，给予硝酸甘油静脉滴注，并经急诊入院。宜选用下列何药降压,A. 氢氯噻嗪 / B. 呋塞米 / C. 可乐定 / D. 螺内酯 / E. 硝苯地平,B,
01-131,"CH20,CH21,CH23",✅ 有机器候选（建议确认）,CH21,患者，男，58岁。患高血压性心脏病数年，有时因激动或过劳而发生心绞痛，最初经休息后尚可自行缓解，几天之后心绞痛加重并有心律失常，此时合理的治疗方案是,A. 维拉帕米＋硝苯地平 / B. 硝酸甘油＋硝酸异山梨酯 / C. 地尔硫卓＋普萘洛尔 / D. 普萘洛尔＋维拉帕米 / E. 硝酸甘油＋普萘洛尔,E,
02-208,"CH20,CH21,CH23",🔒 保留并列（无信号，需裁决）,—,兼具抗心律失常、抗高血压和抗心绞痛作用的药物是,A. 阿托品 / B. 普萘洛尔 / C. 异丙肾上腺素 / D. 硝酸甘油 / E. 可乐定,B,
02-172,"CH20,CH22",✅ 有机器候选（建议确认）,CH20,用于治疗心力衰竭和高血压病的药物是,A. 洋地黄毒苷 / B. 氨力农 / C. 米力农 / D. 毛花苷C / E. 卡托普利,E,
02-220,"CH20,CH25",🔒 保留并列（无信号，需裁决）,—,高血压合并支气管哮喘的病人不宜用,A. β受体阻断药 / B. α受体阻断药 / C. 利尿药 / D. 扩血管药 / E. 钙通道阻断药,A,
02-141,"CH20,CH30",✅ 有机器候选（建议确认）,CH20,伴糖尿病肾病的高血压患者最好选用,A. 可乐定 / B. 卡托普利 / C. 哌唑嗪 / D. 呋塞米 / E. 硝普钠,B,
01-245,"CH21,CH23",✅ 有机器候选（建议确认）,CH21,伴有心动过速的心绞痛患者不宜选用,A. 普萘洛尔 / B. 地尔硫䓬 / C. 维拉帕米 / D. 硝酸甘油 / E. 卡托普利,D,
